Timestamp: 56831 ms, Roll: -3.11738 rad, Pitch: -0.0312622 rad
Timestamp: 56841 ms, Roll: -3.12143 rad, Pitch: -0.0282126 rad
Timestamp: 56851 ms, Roll: -3.12139 rad, Pitch: -0.0242327 rad
Timestamp: 56861 ms, Roll: -3.12036 rad, Pitch: -0.0212256 rad
Timestamp: 56871 ms, Roll: -3.12021 rad, Pitch: -0.0244295 rad
Timestamp: 56881 ms, Roll: -3.1203 rad, Pitch: -0.0324356 rad
Timestamp: 56891 ms, Roll: -3.12437 rad, Pitch: -0.0293692 rad
Timestamp: 56901 ms, Roll: -3.12341 rad, Pitch: -0.0292797 rad
Timestamp: 56911 ms, Roll: -3.12041 rad, Pitch: -0.0231995 rad
Timestamp: 56921 ms, Roll: -3.1124 rad, Pitch: -0.0311951 rad
Timestamp: 56931 ms, Roll: -3.11839 rad, Pitch: -0.0292471 rad
Timestamp: 56941 ms, Roll: -3.11931 rad, Pitch: -0.0263298 rad
Timestamp: 56951 ms, Roll: -3.12343 rad, Pitch: -0.0252175 rad
Timestamp: 56961 ms, Roll: -3.12447 rad, Pitch: -0.0271797 rad
Timestamp: 56971 ms, Roll: -3.12043 rad, Pitch: -0.0261978 rad
Timestamp: 56981 ms, Roll: -3.12229 rad, Pitch: -0.0203186 rad
Timestamp: 56991 ms, Roll: -3.11919 rad, Pitch: -0.0244289 rad
Timestamp: 57001 ms, Roll: -3.12459 rad, Pitch: -0.0289877 rad
Timestamp: 57011 ms, Roll: -3.12158 rad, Pitch: -0.0280151 rad
Timestamp: 57021 ms, Roll: -3.12036 rad, Pitch: -0.0242567 rad
Timestamp: 57031 ms, Roll: -3.11912 rad, Pitch: -0.0234831 rad
Timestamp: 57041 ms, Roll: -3.11829 rad, Pitch: -0.0273414 rad
Timestamp: 57051 ms, Roll: -3.11951 rad, Pitch: -0.0291011 rad
Timestamp: 57061 ms, Roll: -3.11942 rad, Pitch: -0.0221683 rad
Timestamp: 57071 ms, Roll: -3.12025 rad, Pitch: -0.0223489 rad
Timestamp: 57081 ms, Roll: -3.12133 rad, Pitch: -0.0283554 rad
Timestamp: 57091 ms, Roll: -3.12125 rad, Pitch: -0.0315191 rad
Timestamp: 57101 ms, Roll: -3.12749 rad, Pitch: -0.0301993 rad
Timestamp: 57111 ms, Roll: -3.11846 rad, Pitch: -0.0251389 rad
Timestamp: 57121 ms, Roll: -3.11234 rad, Pitch: -0.0272268 rad
Timestamp: 57131 ms, Roll: -3.11614 rad, Pitch: -0.0264618 rad
Timestamp: 57141 ms, Roll: -3.12135 rad, Pitch: -0.0242817 rad
Timestamp: 57151 ms, Roll: -3.12652 rad, Pitch: -0.0281301 rad
Timestamp: 57161 ms, Roll: -3.12435 rad, Pitch: -0.0324382 rad
Timestamp: 57171 ms, Roll: -3.11542 rad, Pitch: -0.0281803 rad
Timestamp: 57181 ms, Roll: -3.11611 rad, Pitch: -0.0234336 rad
Timestamp: 57191 ms, Roll: -3.12234 rad, Pitch: -0.0232944 rad
Timestamp: 57201 ms, Roll: -3.12032 rad, Pitch: -0.0313909 rad
Timestamp: 57211 ms, Roll: -3.12244 rad, Pitch: -0.0282131 rad
Timestamp: 57221 ms, Roll: -3.12334 rad, Pitch: -0.0263587 rad
Timestamp: 57231 ms, Roll: -3.11627 rad, Pitch: -0.0263279 rad
Timestamp: 57241 ms, Roll: -3.11523 rad, Pitch: -0.0263539 rad
Timestamp: 57251 ms, Roll: -3.12256 rad, Pitch: -0.0290447 rad
Timestamp: 57261 ms, Roll: -3.1194 rad, Pitch: -0.0262236 rad
Timestamp: 57271 ms, Roll: -3.11721 rad, Pitch: -0.0314843 rad
Timestamp: 57281 ms, Roll: -3.11834 rad, Pitch: -0.022235 rad
Timestamp: 57291 ms, Roll: -3.12234 rad, Pitch: -0.0283559 rad
Timestamp: 57301 ms, Roll: -3.12446 rad, Pitch: -0.0322422 rad
Timestamp: 57311 ms, Roll: -3.12341 rad, Pitch: -0.0292797 rad
Timestamp: 57321 ms, Roll: -3.11748 rad, Pitch: -0.0261171 rad
Timestamp: 57331 ms, Roll: -3.11023 rad, Pitch: -0.0242748 rad
Timestamp: 57341 ms, Roll: -3.12049 rad, Pitch: -0.0231063 rad
Timestamp: 57351 ms, Roll: -3.11949 rad, Pitch: -0.02411 rad
Timestamp: 57361 ms, Roll: -3.12043 rad, Pitch: -0.0261978 rad
Timestamp: 57371 ms, Roll: -3.11924 rad, Pitch: -0.0274253 rad
Timestamp: 57381 ms, Roll: -3.11549 rad, Pitch: -0.0290983 rad
Timestamp: 57391 ms, Roll: -3.12244 rad, Pitch: -0.0261989 rad
Timestamp: 57401 ms, Roll: -3.11841 rad, Pitch: -0.0201531 rad
Timestamp: 57411 ms, Roll: -3.12258 rad, Pitch: -0.0260154 rad
Timestamp: 57421 ms, Roll: -3.11323 rad, Pitch: -0.0273378 rad
Timestamp: 57431 ms, Roll: -3.12425 rad, Pitch: -0.0234616 rad
Timestamp: 57441 ms, Roll: -3.12527 rad, Pitch: -0.0255013 rad
Timestamp: 57451 ms, Roll: -3.12019 rad, Pitch: -0.0203799 rad
Timestamp: 57461 ms, Roll: -3.12451 rad, Pitch: -0.0281292 rad
